exposure_usd,kind,miles_above,miles_total,name,quantity,rank,unit,voltage_kv,worst
2489.472390152514,substation,,,TAP209271,"115 kV substation, P 0%",64,site,115.0,0.00023050670279189944
2429.7407597452057,line,0.0,14.086638078968182,PUD NO 1 OF CHELAN COUNTY 115 kV #211451,0.0 of 14 mi above 40%,65,mi,115.0,0.00043055712012574077
2379.7192641100373,line,0.0,5.618987600982179,PUD NO 1 OF CHELAN COUNTY 115 kV #211439,0.0 of 6 mi above 40%,66,mi,115.0,0.0012843081494793296
2338.675770442933,substation,,,CRUM CANYON,"115 kV substation, P 0%",67,site,115.0,0.00021654405281879008
2338.675770442933,substation,,,WAPATO,"115 kV substation, P 0%",68,site,115.0,0.00021654405281879008
2197.011443786323,substation,,,DOUGLAS,"230 kV substation, P 0%",69,site,230.0,0.00020342698553577065
2063.9266760554165,substation,,,UNION VALLEY,"115 kV substation, P 0%",70,site,115.0,0.000191104321856983
2063.9266760554165,substation,,,UNKNOWN209240,"115 kV substation, P 0%",71,site,115.0,0.000191104321856983
2063.9266760554165,substation,,,TAP209259,"69 kV substation, P 0%",72,site,69.0,0.000191104321856983
2063.9266760554165,substation,,,TAP209261,"69 kV substation, P 0%",73,site,69.0,0.000191104321856983
2063.9266760554165,substation,,,MILES O'MALLEY,"69 kV substation, P 0%",74,site,69.0,0.000191104321856983
2062.621779621032,line,0.0,8.618215570817835,PUD NO 1 OF CHELAN COUNTY 115 kV #211376,0.0 of 9 mi above 40%,75,mi,115.0,0.0023967307060956955
1959.240155268278,line,0.0,9.905161271552895,"OKANOGAN COUNTY ELEC COOP, INC 115 kV #205964",0.0 of 10 mi above 40%,76,mi,115.0,0.0005884087877348065
1938.9020511880517,substation,,,TAP209266,"115 kV substation, P 0%",77,site,115.0,0.00017952796770259738
1786.8061505214362,line,0.0,8.472108168119926,BONNEVILLE POWER ADMINISTRATION 115 kV #201026,0.0 of 8 mi above 40%,78,mi,115.0,0.000487857119878754
1711.111154872924,substation,,,TAP206318,"115 kV substation, P 0%",79,site,115.0,0.00015843621804378927
1607.4556682724506,substation,,,UNKNOWN202925,"115 kV substation, P 0%",80,site,115.0,0.00014883848780300468
1607.4556682724506,substation,,,TAP209241,"115 kV substation, P 0%",81,site,115.0,0.00014883848780300468
1607.4556682724506,substation,,,UNKNOWN209244,"115 kV substation, P 0%",82,site,115.0,0.00014883848780300468
1510.0782795343548,substation,,,ORONDO,"115 kV substation, P 0%",83,site,115.0,0.00013982206291984767
1510.0782795343548,substation,,,UNKNOWN202563,"115 kV substation, P 0%",84,site,115.0,0.00013982206291984767
1510.0782795343548,substation,,,UNKNOWN209242,"115 kV substation, P 0%",85,site,115.0,0.00013982206291984767
1510.0782795343548,substation,,,TAP209260,"115 kV substation, P 0%",86,site,115.0,0.00013982206291984767
1510.0782795343548,substation,,,TAP209263,"115 kV substation, P 0%",87,site,115.0,0.00013982206291984767
1510.0782795343548,substation,,,UNKNOWN209264,"115 kV substation, P 0%",88,site,115.0,0.00013982206291984767
