exposure_usd,kind,miles_above,miles_total,name,quantity,rank,unit,voltage_kv,worst
6866.8063565976245,line,0.0,33.515287570675305,PACIFIC GAS & ELECTRIC COMPANY 230 kV #312980,0.0 of 34 mi above 40%,47,mi,230.0,0.0015011823270469904
6556.415604427457,substation,,,WINTUN,"69 kV substation, P 0%",48,site,69.0,0.0006070755189284682
6354.814907535911,substation,,,TAP310901,"115 kV substation, P 0%",49,site,115.0,0.0005884087877348065
6159.410113468766,substation,,,SULPHUR,"69 kV substation, P 0%",50,site,69.0,0.000570315751247108
5882.652182425083,line,0.0,3.534504148803724,REU 115 kV #301201,0.0 of 4 mi above 40%,51,mi,115.0,0.005730246659368277
5492.559225495185,line,0.0,28.239556113088543,line 115 kV #309789,0.0 of 28 mi above 40%,52,mi,115.0,0.0007793660624884069
5378.187141678974,line,0.0,5.732446377933605,REU 115 kV #313186,0.0 of 6 mi above 40%,53,mi,115.0,0.008061991073191166
5106.828000862151,substation,,,SIGNAL,"69 kV substation, P 0%",54,site,69.0,0.0004728544445242733
4994.408882918064,line,0.0,8.685160978751993,REU 115 kV #309899,0.0 of 9 mi above 40%,55,mi,115.0,0.0023967307060956955
4949.779214803129,substation,,,SHOTGUN CREEK,"69 kV substation, P 0%",56,site,69.0,0.000458312890259549
4650.016897358,substation,,,OLINDA,"500 kV substation, P 0%",57,site,500.0,0.00043055712012574077
4368.400038219988,substation,,,JESSUP TAP 1,"115 kV substation, P 0%",58,site,115.0,0.0004044814850203693
3949.448888131381,line,0.0,32.68391690921064,line 115 kV #312557,0.0 of 33 mi above 40%,59,mi,115.0,0.0008830457809381187
3736.7093260399997,substation,,,AIRPORT RD 1,"69 kV substation, P 0%",60,site,69.0,0.00034599160426296294
3736.7093260399997,substation,,,AIRPORT,"230 kV substation, P 0%",61,site,230.0,0.00034599160426296294
3621.7814893461764,substation,,,UNKNOWN300122,"69 kV substation, P 0%",62,site,69.0,0.00033535013790242374
3621.7814893461764,substation,,,KESWICK,"69 kV substation, P 0%",63,site,69.0,0.00033535013790242374
3621.7814893461764,substation,,,PANORAMA,"115 kV substation, P 0%",64,site,115.0,0.00033535013790242374
3621.7814893461764,substation,,,EUREKA WAY,"69 kV substation, P 0%",65,site,69.0,0.00033535013790242374
3402.417863253504,substation,,,SLATE CREEK,"69 kV substation, P 0%",66,site,69.0,0.0003150386910419911
3196.336515247822,substation,,,UNKNOWN205359,"69 kV substation, P 0%",67,site,69.0,0.0002959570847451687
3147.767034729812,line,0.0,20.038442351062844,PACIFICORP 115 kV #310559,0.0 of 20 mi above 40%,68,mi,115.0,0.000552778656128794
2820.855437312275,substation,,,TAP302762,"60 kV substation, P 0%",69,site,60.0,0.0002611903182696551
2820.855437312275,substation,,,TEXAS SPRINGS,"69 kV substation, P 0%",70,site,69.0,0.0002611903182696551
2820.855437312275,substation,,,JESSUP,"115 kV substation, P 0%",71,site,115.0,0.0002611903182696551
2820.855437312275,substation,,,SPRING CREEK,"230 kV substation, P 0%",72,site,230.0,0.0002611903182696551
2740.9357008255984,line,0.0,14.59690825684689,PACIFIC GAS & ELECTRIC COMPANY 115 kV #306812,0.0 of 15 mi above 40%,73,mi,115.0,0.0007554056355729699
2649.9903411604464,substation,,,PIT 6,"230 kV substation, P 0%",74,site,230.0,0.00024536947603337467
2489.472390152514,substation,,,KILARC,"69 kV substation, P 0%",75,site,69.0,0.00023050670279189944
2489.472390152514,substation,,,TRINITY,"230 kV substation, P 0%",76,site,230.0,0.00023050670279189944
2489.472390152514,substation,,,CHURN,"69 kV substation, P 0%",77,site,69.0,0.00023050670279189944
2489.472390152514,substation,,,UNKNOWN305837,"115 kV substation, P 0%",78,site,115.0,0.00023050670279189944
2489.472390152514,substation,,,TAP310705,"115 kV substation, P 0%",79,site,115.0,0.00023050670279189944
2489.472390152514,substation,,,TAP308090,"115 kV substation, P 0%",80,site,115.0,0.00023050670279189944
2489.472390152514,substation,,,TAP307873,"115 kV substation, P 0%",81,site,115.0,0.00023050670279189944
2489.472390152514,substation,,,TAP308126,"115 kV substation, P 0%",82,site,115.0,0.00023050670279189944
2489.472390152514,substation,,,PIT 7,"230 kV substation, P 0%",83,site,230.0,0.00023050670279189944
2338.675770442933,substation,,,UNKNOWN205361,"69 kV substation, P 0%",84,site,69.0,0.00021654405281879008
2338.675770442933,substation,,,REDDING POWER,"69 kV substation, P 0%",85,site,69.0,0.00021654405281879008
2338.675770442933,substation,,,VOLTA 1,"69 kV substation, P 0%",86,site,69.0,0.00021654405281879008
2197.011443786323,substation,,,ANTLER,"69 kV substation, P 0%",87,site,69.0,0.00020342698553577065
